s,m,m,m,C,C,C
Time,"Visibility_MEAN","Visibility_MIN","Visibility_MAX","Temperature_MEAN","Temperature_MIN","Temperature_MAX"
 1.1117742E+001, 2.8151277E+001, 2.0988027E-001, 3.0000000E+001, 2.0307490E+001, 2.0303780E+001, 2.0311072E+001
 1.1251640E+001, 2.8075403E+001, 2.1488595E-001, 3.0000000E+001, 2.0314544E+001, 2.0310759E+001, 2.0318212E+001
 1.1519436E+001, 2.7996774E+001, 2.2003963E-001, 3.0000000E+001, 2.0321568E+001, 2.0317714E+001, 2.0325321E+001
 1.1787231E+001, 2.7893677E+001, 2.2492418E-001, 3.0000000E+001, 2.0330768E+001, 2.0326828E+001, 2.0334632E+001
 1.2055027E+001, 2.7795466E+001, 2.2732866E-001, 3.0000000E+001, 2.0339896E+001, 2.0335876E+001, 2.0343871E+001
 1.2322823E+001, 2.7699155E+001, 2.2608485E-001, 3.0000000E+001, 2.0348948E+001, 2.0344853E+001, 2.0353035E+001
 1.2590619E+001, 2.7602577E+001, 2.2479611E-001, 3.0000000E+001, 2.0357933E+001, 2.0353770E+001, 2.0362134E+001
 1.2858414E+001, 2.7516097E+001, 2.2439060E-001, 3.0000000E+001, 2.0366948E+001, 2.0362722E+001, 2.0371264E+001
 1.3126210E+001, 2.7430052E+001, 2.2518369E-001, 3.0000000E+001, 2.0375986E+001, 2.0371704E+001, 2.0380418E+001
 1.3260108E+001, 2.7359804E+001, 2.2662308E-001, 3.0000000E+001, 2.0382725E+001, 2.0378409E+001, 2.0387242E+001
 1.3527904E+001, 2.7292921E+001, 2.2882894E-001, 3.0000000E+001, 2.0389479E+001, 2.0385136E+001, 2.0394080E+001
 1.3795699E+001, 2.7200214E+001, 2.3213494E-001, 3.0000000E+001, 2.0398353E+001, 2.0393985E+001, 2.0403064E+001
 1.4063495E+001, 2.7109633E+001, 2.3369695E-001, 3.0000000E+001, 2.0407224E+001, 2.0402843E+001, 2.0412045E+001
 1.4331291E+001, 2.7020314E+001, 2.3310582E-001, 3.0000000E+001, 2.0416207E+001, 2.0411826E+001, 2.0421139E+001
 1.4599086E+001, 2.6932359E+001, 2.3323453E-001, 3.0000000E+001, 2.0425147E+001, 2.0420777E+001, 2.0430189E+001
 1.4866882E+001, 2.6844758E+001, 2.3431242E-001, 3.0000000E+001, 2.0434092E+001, 2.0429751E+001, 2.0439246E+001
 1.5000780E+001, 2.6774585E+001, 2.3495560E-001, 3.0000000E+001, 2.0440815E+001, 2.0436504E+001, 2.0446052E+001
 1.5268576E+001, 2.6702129E+001, 2.3524641E-001, 3.0000000E+001, 2.0447529E+001, 2.0443201E+001, 2.0452847E+001
 1.5536371E+001, 2.6608721E+001, 2.3462375E-001, 3.0000000E+001, 2.0456405E+001, 2.0451894E+001, 2.0461828E+001
 1.5804167E+001, 2.6517901E+001, 2.3435447E-001, 3.0000000E+001, 2.0465174E+001, 2.0460465E+001, 2.0470694E+001
 1.6071963E+001, 2.6427179E+001, 2.3571951E-001, 3.0000000E+001, 2.0473843E+001, 2.0468919E+001, 2.0479453E+001
 1.6339759E+001, 2.6338374E+001, 2.3785212E-001, 3.0000000E+001, 2.0482595E+001, 2.0477442E+001, 2.0488289E+001
 1.6607554E+001, 2.6248037E+001, 2.4004344E-001, 3.0000000E+001, 2.0491474E+001, 2.0486072E+001, 2.0497244E+001
 1.6888740E+001, 2.6147931E+001, 2.3875844E-001, 3.0000000E+001, 2.0500564E+001, 2.0494885E+001, 2.0506402E+001
 1.7036027E+001, 2.6076206E+001, 2.3713771E-001, 3.0000000E+001, 2.0507574E+001, 2.0501664E+001, 2.0513459E+001
 1.7330603E+001, 2.5999284E+001, 2.3622293E-001, 3.0000000E+001, 2.0514826E+001, 2.0508663E+001, 2.0520987E+001
 1.7625178E+001, 2.5899556E+001, 2.3585600E-001, 3.0000000E+001, 2.0524332E+001, 2.0517803E+001, 2.0530900E+001
 1.7772466E+001, 2.5824038E+001, 2.3715446E-001, 3.0000000E+001, 2.0531512E+001, 2.0524681E+001, 2.0538413E+001
 1.8067041E+001, 2.5745004E+001, 2.3664786E-001, 3.0000000E+001, 2.0538905E+001, 2.0531673E+001, 2.0546109E+001
 1.8361616E+001, 2.5646931E+001, 2.3259430E-001, 3.0000000E+001, 2.0549255E+001, 2.0540841E+001, 2.0560749E+001
 1.8508904E+001, 2.5569810E+001, 2.2923277E-001, 3.0000000E+001, 2.0558472E+001, 2.0547551E+001, 2.0599880E+001
 1.8803479E+001, 2.5491670E+001, 2.2758112E-001, 3.0000000E+001, 2.0571055E+001, 2.0554302E+001, 2.0693340E+001
 1.9098054E+001, 2.5389881E+001, 2.2781272E-001, 3.0000000E+001, 2.0595611E+001, 2.0563638E+001, 2.0920357E+001
 1.9392630E+001, 2.5286471E+001, 2.2772738E-001, 3.0000000E+001, 2.0635308E+001, 2.0573700E+001, 2.1277164E+001
 1.9539917E+001, 2.5205391E+001, 2.2592959E-001, 3.0000000E+001, 2.0678193E+001, 2.0580261E+001, 2.1615341E+001
 1.9834493E+001, 2.5125545E+001, 2.2446852E-001, 3.0000000E+001, 2.0737830E+001, 2.0587184E+001, 2.1999974E+001
 2.0129068E+001, 2.5021364E+001, 2.2604890E-001, 3.0000000E+001, 2.0844366E+001, 2.0598968E+001, 2.2507792E+001
 2.0276356E+001, 2.4940841E+001, 2.2941751E-001, 3.0000000E+001, 2.0944696E+001, 2.0612256E+001, 2.2872263E+001
 2.0570931E+001, 2.4859389E+001, 2.3247128E-001, 3.0000000E+001, 2.1068869E+001, 2.0621713E+001, 2.3230783E+001
 2.0865506E+001, 2.4753639E+001, 2.3146427E-001, 3.0000000E+001, 2.1274112E+001, 2.0634671E+001, 2.3715334E+001
 2.1012794E+001, 2.4674685E+001, 2.2765615E-001, 3.0000000E+001, 2.1457357E+001, 2.0643568E+001, 2.4079479E+001
 2.1307369E+001, 2.4593946E+001, 2.2652619E-001, 3.0000000E+001, 2.1673289E+001, 2.0652862E+001, 2.4438131E+001
 2.1601944E+001, 2.4485667E+001, 2.2635242E-001, 3.0000000E+001, 2.2006033E+001, 2.0666793E+001, 2.4924528E+001
 2.1896520E+001, 2.4378457E+001, 2.2511486E-001, 3.0000000E+001, 2.2387298E+001, 2.0684190E+001, 2.5549249E+001
 2.2043807E+001, 2.4295766E+001, 2.2401234E-001, 3.0000000E+001, 2.2706003E+001, 2.0699395E+001, 2.6140839E+001
 2.2338383E+001, 2.4215483E+001, 2.2279306E-001, 3.0000000E+001, 2.3060219E+001, 2.0712107E+001, 2.6714778E+001
 2.2632958E+001, 2.4114102E+001, 2.2329201E-001, 3.0000000E+001, 2.3569979E+001, 2.0733634E+001, 2.7255504E+001
 2.2780246E+001, 2.4037751E+001, 2.2635296E-001, 3.0000000E+001, 2.3970096E+001, 2.0782636E+001, 2.7516108E+001
 2.3074821E+001, 2.3960320E+001, 2.3036482E-001, 3.0000000E+001, 2.4382830E+001, 2.0993656E+001, 2.7643416E+001
 2.3369396E+001, 2.3859584E+001, 2.3397522E-001, 3.0000000E+001, 2.4947209E+001, 2.1551839E+001, 2.7713421E+001
 2.3516684E+001, 2.3786695E+001, 2.3359712E-001, 3.0000000E+001, 2.5370125E+001, 2.2135015E+001, 2.7709784E+001
 2.3811259E+001, 2.3717690E+001, 2.3033549E-001, 3.0000000E+001, 2.5771985E+001, 2.2824320E+001, 2.7710672E+001
 2.4105834E+001, 2.3620546E+001, 2.2560707E-001, 3.0000000E+001, 2.6255032E+001, 2.3756892E+001, 2.7738767E+001
 2.4253122E+001, 2.3545806E+001, 2.2430052E-001, 3.0000000E+001, 2.6569251E+001, 2.4386423E+001, 2.7780009E+001
 2.4547697E+001, 2.3474763E+001, 2.2605282E-001, 3.0000000E+001, 2.6833611E+001, 2.4953487E+001, 2.7811053E+001
 2.4842273E+001, 2.3378501E+001, 2.3048082E-001, 3.0000000E+001, 2.7121584E+001, 2.5621245E+001, 2.7853702E+001
 2.5136848E+001, 2.3276735E+001, 2.3355087E-001, 3.0000000E+001, 2.7342328E+001, 2.6164052E+001, 2.7989312E+001
 2.5284135E+001, 2.3203294E+001, 2.3431711E-001, 3.0000000E+001, 2.7473900E+001, 2.6494192E+001, 2.8092060E+001
 2.5578711E+001, 2.3133741E+001, 2.3407937E-001, 3.0000000E+001, 2.7577986E+001, 2.6742126E+001, 2.8165159E+001
 2.5873286E+001, 2.3041352E+001, 2.3226124E-001, 3.0000000E+001, 2.7687898E+001, 2.6982964E+001, 2.8229129E+001
 2.6020574E+001, 2.2969877E+001, 2.2991599E-001, 3.0000000E+001, 2.7751000E+001, 2.7121363E+001, 2.8258941E+001
 2.6315149E+001, 2.2896352E+001, 2.2971446E-001, 3.0000000E+001, 2.7798072E+001, 2.7229391E+001, 2.8276896E+001
 2.6609724E+001, 2.2799906E+001, 2.2339612E-001, 3.0000000E+001, 2.7844931E+001, 2.7343758E+001, 2.8291657E+001
 2.6757012E+001, 2.2727705E+001, 2.1291797E-001, 3.0000000E+001, 2.7869783E+001, 2.7351630E+001, 2.8300182E+001
 2.7051587E+001, 2.2656315E+001, 2.0899124E-001, 3.0000000E+001, 2.7885158E+001, 2.7294372E+001, 2.8301894E+001
 2.7346162E+001, 2.2560033E+001, 2.1135521E-001, 3.0000000E+001, 2.7895062E+001, 2.7207471E+001, 2.8301837E+001
 2.7640738E+001, 2.2460751E+001, 2.1450842E-001, 3.0000000E+001, 2.7895193E+001, 2.7117907E+001, 2.8301127E+001
 2.7788025E+001, 2.2389561E+001, 2.1338821E-001, 3.0000000E+001, 2.7890395E+001, 2.7054552E+001, 2.8299755E+001
 2.8082601E+001, 2.2316053E+001, 2.1048996E-001, 3.0000000E+001, 2.7881973E+001, 2.6993737E+001, 2.8294273E+001
 2.8377176E+001, 2.2220861E+001, 2.0713213E-001, 3.0000000E+001, 2.7864422E+001, 2.6915146E+001, 2.8278315E+001
 2.8524464E+001, 2.2148875E+001, 2.0697811E-001, 3.0000000E+001, 2.7846358E+001, 2.6858492E+001, 2.8268535E+001
 2.8819039E+001, 2.2074134E+001, 2.0889455E-001, 3.0000000E+001, 2.7823702E+001, 2.6811253E+001, 2.8264259E+001
 2.9113614E+001, 2.1973591E+001, 2.1326232E-001, 3.0000000E+001, 2.7789365E+001, 2.6765598E+001, 2.8253515E+001
 2.9260902E+001, 2.1898253E+001, 2.1718121E-001, 3.0000000E+001, 2.7760709E+001, 2.6742140E+001, 2.8239708E+001
 2.9555477E+001, 2.1821438E+001, 2.2126713E-001, 3.0000000E+001, 2.7729822E+001, 2.6727025E+001, 2.8218778E+001
 2.9850052E+001, 2.1720337E+001, 2.2711822E-001, 3.0000000E+001, 2.7687963E+001, 2.6712475E+001, 2.8178613E+001
 3.0144628E+001, 2.1612995E+001, 2.1907941E-001, 3.0000000E+001, 2.7645418E+001, 2.6692887E+001, 2.8124799E+001
 3.0291915E+001, 2.1533970E+001, 2.0974527E-001, 3.0000000E+001, 2.7613089E+001, 2.6670783E+001, 2.8109446E+001
 3.0586491E+001, 2.1454244E+001, 2.0573716E-001, 3.0000000E+001, 2.7579931E+001, 2.6644521E+001, 2.8106090E+001
 3.0881066E+001, 2.1354147E+001, 2.0425297E-001, 3.0000000E+001, 2.7533612E+001, 2.6612557E+001, 2.8101627E+001
 3.1028354E+001, 2.1278443E+001, 2.0335816E-001, 3.0000000E+001, 2.7497895E+001, 2.6594315E+001, 2.8097997E+001
 3.1322929E+001, 2.1203984E+001, 2.0289119E-001, 3.0000000E+001, 2.7461872E+001, 2.6583210E+001, 2.8093492E+001
 3.1617504E+001, 2.1102150E+001, 2.0335918E-001, 3.0000000E+001, 2.7414770E+001, 2.6569285E+001, 2.8075319E+001
 3.1764792E+001, 2.1028888E+001, 2.0426375E-001, 3.0000000E+001, 2.7381019E+001, 2.6547424E+001, 2.8038399E+001
 3.2059367E+001, 2.0957651E+001, 2.0550284E-001, 3.0000000E+001, 2.7349354E+001, 2.6528899E+001, 2.7997004E+001
 3.2353942E+001, 2.0865289E+001, 2.0766710E-001, 3.0000000E+001, 2.7308363E+001, 2.6515834E+001, 2.7958140E+001
 3.2501230E+001, 2.0795952E+001, 2.1047487E-001, 3.0000000E+001, 2.7279132E+001, 2.6514967E+001, 2.7923434E+001
 3.2795805E+001, 2.0721020E+001, 2.1452369E-001, 3.0000000E+001, 2.7252321E+001, 2.6524026E+001, 2.7877143E+001
 3.3090381E+001, 2.0623014E+001, 2.2131495E-001, 3.0000000E+001, 2.7223073E+001, 2.6547623E+001, 2.7803538E+001
 3.3384956E+001, 2.0529456E+001, 2.2384962E-001, 3.0000000E+001, 2.7204472E+001, 2.6579176E+001, 2.7778204E+001
 3.3532243E+001, 2.0460011E+001, 2.1821376E-001, 3.0000000E+001, 2.7200202E+001, 2.6607959E+001, 2.7749474E+001
 3.3826819E+001, 2.0391958E+001, 2.1447460E-001, 3.0000000E+001, 2.7206985E+001, 2.6644691E+001, 2.7692670E+001
 3.4121394E+001, 2.0304470E+001, 2.0984203E-001, 3.0000000E+001, 2.7229477E+001, 2.6708569E+001, 2.7627140E+001
 3.4268682E+001, 2.0242036E+001, 2.0682164E-001, 3.0000000E+001, 2.7255965E+001, 2.6769548E+001, 2.7694123E+001
 3.4563257E+001, 2.0178749E+001, 2.0545451E-001, 3.0000000E+001, 2.7291798E+001, 2.6831100E+001, 2.7767503E+001
 3.4857832E+001, 2.0094382E+001, 2.0531565E-001, 3.0000000E+001, 2.7350267E+001, 2.6874909E+001, 2.7857429E+001
 3.5005120E+001, 2.0030839E+001, 2.0600731E-001, 3.0000000E+001, 2.7401145E+001, 2.6910952E+001, 2.7923545E+001
 3.5314424E+001, 1.9963062E+001, 2.0644433E-001, 3.0000000E+001, 2.7460920E+001, 2.6967973E+001, 2.7994025E+001
 3.5599799E+001, 1.9878787E+001, 2.0752980E-001, 3.0000000E+001, 2.7541878E+001, 2.7067558E+001, 2.8089694E+001
 3.5885174E+001, 1.9799642E+001, 2.0562023E-001, 3.0000000E+001, 2.7626987E+001, 2.7110567E+001, 2.8190721E+001
 3.6027861E+001, 1.9741494E+001, 2.0524878E-001, 3.0000000E+001, 2.7693341E+001, 2.7125449E+001, 2.8264968E+001
 3.6313236E+001, 1.9684649E+001, 2.0604416E-001, 3.0000000E+001, 2.7761463E+001, 2.7150018E+001, 2.8336937E+001
 3.6598611E+001, 1.9608705E+001, 2.0806598E-001, 3.0000000E+001, 2.7853418E+001, 2.7195754E+001, 2.8431606E+001
 3.6883986E+001, 1.9533878E+001, 2.1139369E-001, 3.0000000E+001, 2.7944839E+001, 2.7255801E+001, 2.8525600E+001
 3.7040942E+001, 1.9473546E+001, 2.1491752E-001, 3.0000000E+001, 2.8017719E+001, 2.7314852E+001, 2.8600830E+001
 3.7354854E+001, 1.9412050E+001, 2.2121017E-001, 3.0000000E+001, 2.8093087E+001, 2.7387488E+001, 2.8678011E+001
 3.7511810E+001, 1.9351163E+001, 2.2684924E-001, 3.0000000E+001, 2.8168567E+001, 2.7470006E+001, 2.8754416E+001
 3.7825723E+001, 1.9289518E+001, 2.3172730E-001, 3.0000000E+001, 2.8243660E+001, 2.7568956E+001, 2.8825147E+001
 3.8139635E+001, 1.9205868E+001, 2.3691422E-001, 3.0000000E+001, 2.8341170E+001, 2.7713622E+001, 2.8902067E+001
 3.8296591E+001, 1.9143595E+001, 2.3781261E-001, 3.0000000E+001, 2.8410739E+001, 2.7820652E+001, 2.8947417E+001
 3.8610503E+001, 1.9081112E+001, 2.3516509E-001, 3.0000000E+001, 2.8474372E+001, 2.7926675E+001, 2.8983472E+001
 3.8767459E+001, 1.9017831E+001, 2.3052489E-001, 3.0000000E+001, 2.8531470E+001, 2.8034108E+001, 2.9009998E+001
 3.9081372E+001, 1.8957647E+001, 2.2562788E-001, 3.0000000E+001, 2.8579237E+001, 2.8126095E+001, 2.9024987E+001
 3.9395284E+001, 1.8875934E+001, 2.2162924E-001, 3.0000000E+001, 2.8629917E+001, 2.8115327E+001, 2.9031351E+001
 3.9552240E+001, 1.8813142E+001, 2.2133751E-001, 3.0000000E+001, 2.8659023E+001, 2.8078571E+001, 2.9022058E+001
 3.9866153E+001, 1.8748278E+001, 2.2247694E-001, 3.0000000E+001, 2.8682288E+001, 2.8028521E+001, 2.9017528E+001
 4.0023109E+001, 1.8682539E+001, 2.2381257E-001, 3.0000000E+001, 2.8702488E+001, 2.7974056E+001, 2.9022582E+001
 4.0337021E+001, 1.8617320E+001, 2.2518476E-001, 3.0000000E+001, 2.8721101E+001, 2.7924259E+001, 2.9025571E+001
 4.0650933E+001, 1.8531782E+001, 2.2692897E-001, 3.0000000E+001, 2.8749114E+001, 2.7875832E+001, 2.9041503E+001
 4.0807890E+001, 1.8469334E+001, 2.2718705E-001, 3.0000000E+001, 2.8775267E+001, 2.7864987E+001, 2.9067526E+001
 4.1121802E+001, 1.8410921E+001, 2.2673729E-001, 3.0000000E+001, 2.8807803E+001, 2.7901055E+001, 2.9110249E+001
 4.1278758E+001, 1.8355003E+001, 2.2616769E-001, 3.0000000E+001, 2.8846343E+001, 2.7973012E+001, 2.9168473E+001
 4.1592670E+001, 1.8302003E+001, 2.2512533E-001, 3.0000000E+001, 2.8892566E+001, 2.8071158E+001, 2.9248523E+001
 4.1906583E+001, 1.8231177E+001, 2.2453563E-001, 3.0000000E+001, 2.8963352E+001, 2.8202072E+001, 2.9364956E+001
 4.2063539E+001, 1.8177461E+001, 2.2524352E-001, 3.0000000E+001, 2.9021539E+001, 2.8286263E+001, 2.9458085E+001
 4.2377451E+001, 1.8124669E+001, 2.2740951E-001, 3.0000000E+001, 2.9081615E+001, 2.8359035E+001, 2.9548422E+001
 4.2534407E+001, 1.8071460E+001, 2.3030795E-001, 3.0000000E+001, 2.9141625E+001, 2.8419195E+001, 2.9619257E+001
 4.2848320E+001, 1.8017244E+001, 2.3295806E-001, 3.0000000E+001, 2.9200119E+001, 2.8470019E+001, 2.9652600E+001
 4.3005276E+001, 1.7962204E+001, 2.3494519E-001, 3.0000000E+001, 2.9257200E+001, 2.8528881E+001, 2.9702229E+001
 4.3319188E+001, 1.7906004E+001, 2.3692716E-001, 3.0000000E+001, 2.9313422E+001, 2.8617750E+001, 2.9743779E+001
 4.3664492E+001, 1.7821757E+001, 2.3933728E-001, 3.0000000E+001, 2.9392993E+001, 2.8810240E+001, 2.9774209E+001
 4.3837143E+001, 1.7754934E+001, 2.3574020E-001, 3.0000000E+001, 2.9455075E+001, 2.8965215E+001, 2.9794053E+001
 4.4009795E+001, 1.7708481E+001, 2.2823266E-001, 3.0000000E+001, 2.9496845E+001, 2.9005847E+001, 2.9847298E+001
 4.4355099E+001, 1.7641684E+001, 2.1152702E-001, 3.0000000E+001, 2.9560285E+001, 2.9056611E+001, 2.9942985E+001
