s,m,m,m,C,C,C
Time,"Visibility_MEAN","Visibility_MIN","Visibility_MAX","Temperature_MEAN","Temperature_MIN","Temperature_MAX"
 3.5328544E+001, 2.0184555E+001, 2.4564227E-001, 3.0000000E+001, 2.6797390E+001, 2.5005080E+001, 2.7735862E+001
 3.6070115E+001, 1.9983796E+001, 2.1456889E-001, 3.0000000E+001, 2.7209499E+001, 2.6288785E+001, 2.7825233E+001
 3.6811687E+001, 1.9795324E+001, 2.1535057E-001, 3.0000000E+001, 2.7441607E+001, 2.6944468E+001, 2.7833162E+001
 3.7701573E+001, 1.9593764E+001, 2.2188909E-001, 3.0000000E+001, 2.7648561E+001, 2.7337672E+001, 2.8129565E+001
 3.8443144E+001, 1.9402177E+001, 2.2876142E-001, 3.0000000E+001, 2.7984678E+001, 2.7450472E+001, 2.8788813E+001
 3.9333030E+001, 1.9222777E+001, 2.4203800E-001, 3.0000000E+001, 2.8406434E+001, 2.7749726E+001, 2.9169263E+001
 4.0074602E+001, 1.9042249E+001, 2.4104321E-001, 3.0000000E+001, 2.8766462E+001, 2.8149206E+001, 2.9405512E+001
 4.0816173E+001, 1.8882615E+001, 2.7510080E-001, 3.0000000E+001, 2.8920852E+001, 2.8283255E+001, 2.9492268E+001
 4.1706059E+001, 1.8712327E+001, 5.4029810E-001, 3.0000000E+001, 2.8941387E+001, 2.8181480E+001, 2.9573336E+001
 4.2521788E+001, 1.8558966E+001, 8.4425617E-001, 3.0000000E+001, 2.8990357E+001, 2.8164839E+001, 2.9628628E+001
 4.3353831E+001, 1.8432463E+001, 1.0855907E+000, 3.0000000E+001, 2.9119699E+001, 2.8317722E+001, 2.9765699E+001
 4.4071673E+001, 1.8334813E+001, 1.1155102E+000, 3.0000000E+001, 2.9300075E+001, 2.8604254E+001, 2.9844603E+001
 4.4945849E+001, 1.8238801E+001, 1.3236089E+000, 3.0000000E+001, 2.9546892E+001, 2.9087722E+001, 3.0097153E+001
 4.5658659E+001, 1.8155900E+001, 2.0007765E+000, 3.0000000E+001, 2.9810952E+001, 2.9345676E+001, 3.0416501E+001
 4.6444574E+001, 1.8092486E+001, 2.0738058E+000, 3.0000000E+001, 2.9965610E+001, 2.9292116E+001, 3.0628706E+001
 4.7327132E+001, 1.8017373E+001, 2.0955773E+000, 3.0000000E+001, 2.9964470E+001, 2.9149423E+001, 3.0690550E+001
 4.8209691E+001, 1.7943593E+001, 2.1176228E+000, 3.0000000E+001, 2.9814489E+001, 2.8793125E+001, 3.0440360E+001
 4.8871610E+001, 1.7875640E+001, 2.1566188E+000, 3.0000000E+001, 2.9645053E+001, 2.8616278E+001, 3.0238776E+001
 4.9754168E+001, 1.7798644E+001, 2.1719552E+000, 3.0000000E+001, 2.9505969E+001, 2.8623431E+001, 3.0051965E+001
 5.0416087E+001, 1.7726441E+001, 2.1804336E+000, 3.0000000E+001, 2.9363516E+001, 2.8135878E+001, 2.9976535E+001
 5.1298646E+001, 1.7657255E+001, 2.1822118E+000, 3.0000000E+001, 2.9127292E+001, 2.5175452E+001, 2.9920247E+001
 5.2225332E+001, 1.7572955E+001, 2.1886248E+000, 3.0000000E+001, 2.9042351E+001, 2.4783853E+001, 2.9836076E+001
 5.2953443E+001, 1.7498473E+001, 2.2329047E+000, 3.0000000E+001, 2.9166821E+001, 2.7460632E+001, 2.9800832E+001
 5.3829565E+001, 1.7443191E+001, 2.2727202E+000, 3.0000000E+001, 2.8818739E+001, 2.6027765E+001, 2.9691393E+001
 5.4534737E+001, 1.7394923E+001, 2.2949889E+000, 3.0000000E+001, 2.7979823E+001, 2.2671550E+001, 2.9625413E+001
 5.5263414E+001, 1.7355785E+001, 2.3518212E+000, 3.0000000E+001, 2.7100090E+001, 2.1442555E+001, 2.9552549E+001
 5.6039102E+001, 1.7319606E+001, 2.3772789E+000, 3.0000000E+001, 2.6364531E+001, 2.1259606E+001, 2.9433753E+001
 5.6814790E+001, 1.7288469E+001, 2.3871257E+000, 3.0000000E+001, 2.5842824E+001, 2.0960344E+001, 2.9128581E+001
 5.7849042E+001, 1.7259792E+001, 2.4224202E+000, 3.0000000E+001, 2.5356671E+001, 2.0492776E+001, 2.8651865E+001
 5.8624730E+001, 1.7233771E+001, 2.4423182E+000, 3.0000000E+001, 2.4868188E+001, 2.0334843E+001, 2.8245718E+001
 5.9400418E+001, 1.7212448E+001, 2.4445886E+000, 3.0000000E+001, 2.4451107E+001, 2.0190995E+001, 2.7936618E+001
 6.0253676E+001, 1.7195666E+001, 2.4470611E+000, 3.0000000E+001, 2.3982280E+001, 2.0125963E+001, 2.7562883E+001
 6.0822514E+001, 1.7181981E+001, 2.4510982E+000, 3.0000000E+001, 2.3512464E+001, 2.0113898E+001, 2.7095434E+001
 6.1675771E+001, 1.7171866E+001, 2.4602256E+000, 3.0000000E+001, 2.2973516E+001, 2.0083664E+001, 2.6376891E+001
 6.2492247E+001, 1.7165352E+001, 2.4749630E+000, 3.0000000E+001, 2.2375610E+001, 2.0055471E+001, 2.5521872E+001
 6.3235161E+001, 1.7167767E+001, 2.4911995E+000, 3.0000000E+001, 2.1935168E+001, 2.0067133E+001, 2.5247171E+001
 6.4225712E+001, 1.7174787E+001, 2.5113739E+000, 3.0000000E+001, 2.1687000E+001, 2.0080003E+001, 2.4757942E+001
 6.4968626E+001, 1.7186049E+001, 2.5429293E+000, 3.0000000E+001, 2.1513680E+001, 2.0039126E+001, 2.4373702E+001
 6.5711539E+001, 1.7197065E+001, 2.5783478E+000, 3.0000000E+001, 2.1310944E+001, 2.0014736E+001, 2.4060285E+001
 6.6454453E+001, 1.7210544E+001, 2.6188583E+000, 3.0000000E+001, 2.1053003E+001, 2.0006655E+001, 2.3376125E+001
 6.7271658E+001, 1.7227707E+001, 2.6508340E+000, 3.0000000E+001, 2.0785505E+001, 2.0005383E+001, 2.2809337E+001
 6.8088863E+001, 1.7249504E+001, 2.6789383E+000, 3.0000000E+001, 2.0579363E+001, 2.0004821E+001, 2.2691387E+001
 6.8906067E+001, 1.7276318E+001, 2.7039072E+000, 3.0000000E+001, 2.0447286E+001, 2.0004056E+001, 2.1976336E+001
 6.9723272E+001, 1.7306921E+001, 2.7263045E+000, 3.0000000E+001, 2.0391409E+001, 2.0003109E+001, 2.1486091E+001
 7.0458644E+001, 1.7341294E+001, 2.7465397E+000, 3.0000000E+001, 2.0366573E+001, 2.0003116E+001, 2.1287599E+001
 7.1362768E+001, 1.7380870E+001, 2.7731399E+000, 3.0000000E+001, 2.0315477E+001, 2.0004537E+001, 2.1394949E+001
 7.2021768E+001, 1.7422358E+001, 2.8101924E+000, 3.0000000E+001, 2.0255581E+001, 2.0002326E+001, 2.1416160E+001
 7.2988300E+001, 1.7472111E+001, 2.8684919E+000, 3.0000000E+001, 2.0228611E+001, 2.0001220E+001, 2.1378987E+001
 7.3713200E+001, 1.7527408E+001, 2.9528076E+000, 3.0000000E+001, 2.0270155E+001, 2.0001753E+001, 2.1533027E+001
 7.4560419E+001, 1.7579177E+001, 3.0462201E+000, 3.0000000E+001, 2.0385481E+001, 2.0002883E+001, 2.1750316E+001
 7.5238194E+001, 1.7637892E+001, 3.0785510E+000, 3.0000000E+001, 2.0519117E+001, 2.0003341E+001, 2.1898704E+001
 7.6170135E+001, 1.7700600E+001, 3.0904433E+000, 3.0000000E+001, 2.0627879E+001, 2.0002962E+001, 2.2217074E+001
 7.6869090E+001, 1.7759546E+001, 3.1107382E+000, 3.0000000E+001, 2.0750299E+001, 2.0002731E+001, 2.2597713E+001
 7.7801031E+001, 1.7825043E+001, 3.1399897E+000, 3.0000000E+001, 2.0948799E+001, 2.0006094E+001, 2.2676298E+001
 7.8499987E+001, 1.7897253E+001, 3.1723345E+000, 3.0000000E+001, 2.1171985E+001, 2.0080352E+001, 2.2606578E+001
 7.9455226E+001, 1.7976143E+001, 3.2297945E+000, 3.0000000E+001, 2.1221314E+001, 2.0139518E+001, 2.2309135E+001
